Media_Type,Amount,Loan_Types,Mercnt_Size,Failed_Trans,Freq_Trans,No_Trans,Last_mth_Tr,AM0PM1,Country
FT,4298,Personal,0,0,7,2,1,1,Other
PA,5070,Home_Loan,5070,0,5,5,1,0,AU
FT,321,Credit,0,0,1,2,2,1,Other
PA,6488,Personal,0,0,3,1,1,0,AU
OTT,9122,Business,0,0,2,2,1,1,Other
FT,409,Personal,0,0,3,7,1,1,AU
PA,4049,Business,0,0,4,3,1,0,AU
FT,8331,Personal,0,0,28,1,1,0,AU
PA,643,Home_Loan,0,0,1,3,1,0,AU
FT,244,Credit,0,0,4,3,  ,1,AU
FT,204,Home_Loan,0,0,1,3,1,0,Other
PA,90,Personal,0,0,3,1,2,1,Other
PA,2645,Personal,0,0,31,12,1,1,Other
PA,1126,Personal,0,0,7,2,2,0,AU
FT,10024,Personal,0,0,36,3,2,0,AU
PA,5768,Business,1506,0,4,14,2,1,AU
PA,721,Personal,0,0,24,5,2,0,Other
PA,6158,Personal,0,0,33,2,2,1,Other
FT,461,Credit,0,0,23,3,1,0,AU
PA,3605,Personal,0,0,4,1,1,0,AU
FT,840,Personal,0,0,14,5,1,0,Other
PA,9975,Personal,0,0,2,1,1,1,Other
PA,6323,Personal,0,0,5,2,1,0,Other
PA,584,Personal,0,0,1,3,1,1,AU
FT,200,Business,0,0,6,12,2,1,AU
BPAY,239,Personal,0,0,6,3,2,1,AU
PA,2251,Business,0,0,2,1,1,0,AU
BPAY,661,Home_Loan,0,0,3,2,1,1,AU
PA,10590,Personal,0,0,22,1,1,0,AU
BPAY,3567,Personal,0,0,38,4,1,1,Other
FT,4977,Credit,0,0,4,4,1,1,Other
OTT,581,Personal,0,0,25,4,1,1,Other
PA,4420,Personal,0,0,22,3,1,0,Other
BPAY,897,Personal,0,0,5,5,1,1,Other
PA,8443,Home_Loan,7059,0,1,1,2,1,Other
PA,204,Personal,0,0,3,3,1,0,AU
PA,1082,Home_Loan,0,0,1,14,1,1,AU
FT,1345,Personal,0,0,31,1,1,0,AU
PA,10053,Personal,0,0,7,1,1,0,Other
PA,9936,Home_Loan,0,0,9,1,2,0,Other
PA,370,Personal,0,0,1,9,1,0,Other
PA,5802,Personal,0,0,14,7,3,1,AU
PA,8434,Personal,62,0,4,3,1,0,Other
PA,2144,Personal,0,0,4,2,4,0,Other
PA,4122,Home_Loan,0,0,23,2,1,1,Other
FT,1788,Business,0,0,12,3,1,1,AU
PA,4147,Personal,0,0,47,2,2,1,AU
PA,896,Personal,896,0,25,9,2,1,Other
PA,7926,Personal,0,0,9,14,1,0,Other
FT,689,Personal,0,0,1,1,2,1,Other
FT,1627,Personal,0,0,29,3,5,0,Other
PA,4007,Personal,0,0,4,14,1,1,AU
PA,537,Personal,0,0,8,13,2,0,Other
