,education,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score,is_promoted
0,3.0,1,35,5.0,8,1,0,49,0
1,2.0,1,30,5.0,4,0,0,60,0
2,2.0,1,34,3.0,7,0,0,50,0
3,2.0,2,39,1.0,10,0,0,50,0
4,2.0,1,45,3.0,2,0,0,73,0
5,2.0,2,31,3.0,7,0,0,85,0
6,2.0,1,31,3.0,5,0,0,59,0
7,3.0,1,33,3.0,6,0,0,63,0
8,2.0,1,28,4.0,5,0,0,83,0
9,3.0,1,32,5.0,5,1,0,54,0
11,2.0,1,35,5.0,3,1,0,50,1
12,2.0,1,49,5.0,5,1,0,49,0
13,3.0,2,39,3.0,16,0,0,80,0
14,3.0,1,37,3.0,7,0,0,84,0
15,2.0,1,37,1.0,10,0,0,60,0
16,2.0,1,38,3.0,5,1,0,77,0
17,2.0,1,34,1.0,4,0,0,51,0
18,2.0,1,34,5.0,8,1,0,46,0
19,2.0,1,37,3.0,9,0,0,59,0
20,2.0,1,35,3.0,7,0,0,75,0
22,2.0,1,28,3.0,4,0,0,63,0
24,3.0,2,39,5.0,7,0,0,59,0
25,2.0,1,27,5.0,3,1,0,83,0
26,2.0,1,31,5.0,4,1,0,68,0
27,2.0,1,33,4.0,4,0,0,79,0
28,2.0,1,29,5.0,3,1,0,80,0
30,2.0,1,37,5.0,10,1,0,72,0
31,2.0,2,26,1.0,2,0,0,61,0
33,2.0,2,57,4.0,6,0,0,58,0
34,2.0,2,27,5.0,3,1,0,87,0
35,2.0,1,40,2.0,4,1,0,47,0
36,2.0,1,33,4.0,4,1,0,75,0
37,2.0,1,40,5.0,3,0,0,47,0
38,3.0,1,42,5.0,5,1,0,51,0
39,2.0,1,33,5.0,6,1,0,51,1
40,2.0,1,34,3.0,10,0,0,80,0
41,2.0,2,23,4.0,2,1,0,57,0
42,2.0,1,59,4.0,26,1,0,52,0
44,2.0,1,44,5.0,12,0,0,88,0
45,2.0,1,50,5.0,11,0,0,71,0
46,3.0,1,37,4.0,4,0,0,71,0
47,2.0,1,40,3.0,11,0,0,80,0
48,2.0,1,30,3.0,3,1,0,49,0
49,3.0,1,56,3.0,12,0,0,73,0
50,2.0,1,20,4.0,2,1,0,60,0
51,2.0,1,31,3.0,8,0,0,48,0
52,2.0,1,40,3.0,12,1,0,65,0
53,2.0,1,30,1.0,6,0,0,50,0
54,2.0,1,39,3.0,5,1,0,62,0
55,2.0,2,26,2.0,2,0,0,85,0
57,3.0,1,40,3.0,5,1,0,84,0
59,2.0,1,40,4.0,7,0,0,52,0
60,3.0,1,50,4.0,17,1,0,47,1
61,2.0,1,25,3.0,3,0,0,53,0
63,3.0,1,35,4.0,2,1,0,52,0
64,2.0,1,34,5.0,5,0,0,87,0
65,3.0,1,31,3.0,3,1,0,58,0
68,2.0,1,30,4.0,6,1,0,75,0
69,2.0,1,30,3.0,7,1,0,84,1
70,2.0,1,50,5.0,5,1,0,59,0
71,3.0,1,34,5.0,7,1,0,78,1
72,3.0,1,41,1.0,12,0,0,52,0
